"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: W5 Mapping"
"Basic","","Z-resource
Extension-resourceCustom-resource","",0,*,"","","","","SHR MedicationChange Profile","Description of a modification or change of a medication or dosage.","","","","","","","","","",,,,,"",,,,"",0,null,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-1:If the resource is contained in another resource, it SHALL NOT contain any narrative {contained.text.empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource {contained.where(('#'+id in %resource.descendants().reference).not()).empty()}","Entity. Role, or Act","Act, Entity or Role","infrastructure.structure"
"Basic.id","","","",0,1,"","","Y","id
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Basic.extension.extension.id","","","",0,1,"","","","string
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","N/A"
"Basic.extension.extension.extension","extension","","",0,0,"","","","Extension
","Extension","An Extension","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"",""
"Basic.extension.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Status-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Basic.extension.extension.value[x]","","","",1,1,"","","","code
CodingCodeableConcept","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/event-status","",,,,"Extension.value[x]",0,1,"","","N/A"
"Basic.extension.extension","method","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Method-extension}
","","The technique used to carry out an action, for example, the specific imaging technical or assessment vehicle.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension","relatedrequest","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-RelatedRequest-extension}
","","The request that this action fulfills","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension","relatedplan","","",0,1,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-RelatedPlan-extension}
","","The plan that this action fulfills","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension","facility","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-entity-Facility-extension}
","","Services and space and equipment provided for a particular purpose; a building or place that provides a particular service or is used for a particular industry. Could be a clinical site, community site, or a mobile facility.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.extension","outcome","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-Outcome-extension}
","","The result of performing an action or behavior, for example, an adverse reaction or new finding.","","","","","","","","","",,,,,"",,,,"Extension.extension",0,1,"","","N/A"
"Basic.extension.url","","","",1,1,"","","","uri
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://standardhealthrecord.org/fhir/StructureDefinition/shr-action-PerformedContext-extension""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Basic.extension.value[x]","","","",0,0,"","","","base64Binary
booleancodedatedateTimedecimalidinstantintegermarkdownoidpositiveIntstringtimeunsignedInturiAddressAgeAnnotationAttachmentCodeableConceptCodingContactPointCountDistanceDurationHumanNameIdentifierMoneyPeriodQuantityRangeRatioReferenceSampledDataSignatureTimingMeta","Value of extension","Value of extension - may be a resource or one of a constrained set of the data types (see Extensibility in the spec for list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","","N/A"
"Basic.extension","medicationbeforechange","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-medication-MedicationBeforeChange-extension}
","","The medication taken, prior to the change.","","","","","","","","","",,,,,"",,,,"",0,null,"",""
"Basic.extension","medicationafterchange","","",0,*,"","","","Extension {http://standardhealthrecord.org/fhir/StructureDefinition/shr-medication-MedicationAfterChange-extension}
","","The medication taken, prior to the change.","","","","","","","","","",,,,,"",,,,"",0,null,"",""
>>>>>>> 92b20c342... 12/19/17 updates
"Basic.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource, and that modifies the understanding of the element that contains it. Usually modifier elements provide negation or qualification. In order to make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","","N/A"
"Basic.identifier","","","",0,*,"","","Y","Identifier
","Business identifier","Identifier assigned to the resource for business purposes, outside the context of FHIR.","","","","","","","","","",,,,,"",,,,"",0,null,"","","./identifier","id"
"Basic.code","","","",1,1,"","Y","Y","CodeableConcept
","Kind of Resource","Identifies the 'type' of resource - equivalent to the resource name for other resources.","Because resource references will only be able to indicate 'Basic', the type of reference will need to be specified in a Profile identified as part of the resource.  Refer to the resource notes section for information on appropriate terminologies for this code.

This element is labeled as a modifier because the it defines the meaning of the resource and cannot be ignored.","Must be able to distinguish different types of Basic resources.","","","","<valueCodeableConcept xmlns=""http://hl7.org/fhir"">
  <coding>
    <system value=""http://standardhealthrecord.org/fhir/basic-resource-type""/>
    <code value=""shr-medication-MedicationChange""/>
  </coding>
</valueCodeableConcept>","","","",,"example","Codes for identifying types of resources not yet defined by FHIR","http://hl7.org/fhir/ValueSet/basic-resource-type","",,,,"",0,null,"","","./code","what"
"Basic.subject","","","",0,1,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Resource}
","Identifies the focus of this resource","Identifies the patient, practitioner, device or any other resource that is the ""focus"" of this resource.","Optional as not all potential resources will have subjects.  Resources associated with multiple subjects can handle this via extension.","Needed for partitioning the resource by Patient.","","","","","","","",,,,,"",,,,"",0,null,"","","./participation[typeCode='SBJ'] (possibly through a ControlAct and Role)","who.focus"
"Basic.created","","","",0,1,"","","Y","date
","When created","Identifies when the resource was first created.","","Allows ordering resource instances by time.","","","","","","","",,,,,"",,,,"",0,null,"","","./participation[typeCode='AUT']/time (possibly through a ControlAct and Role)","when.recorded"
"Basic.author","","","",0,1,"","","Y","Reference {http://hl7.org/fhir/StructureDefinition/Practitioner}
Reference {http://hl7.org/fhir/StructureDefinition/Patient}Reference {http://hl7.org/fhir/StructureDefinition/RelatedPerson}","Who created","Indicates who was responsible for creating the resource instance.","","Needed for partitioning the resource.","","","","","","","",,,,,"",,,,"",0,null,"","","./participation[typeCode='SUB'] (possibly through a ControlAct and Role)","who.author"
